cluster1	cluster2	clusterNew	distance	size
1617.0	1791.0	2062.0	-0.926	162.0
398.0	553.0	2063.0	-0.925	52.0
169.0	1812.0	2064.0	-0.924	98.0
117.0	1802.0	2065.0	-0.923	71.0
479.0	1722.0	2066.0	-0.918	94.0
1102.0	1173.0	2067.0	-0.918	28.0
870.0	1211.0	2068.0	-0.914	48.0
858.0	1038.0	2069.0	-0.905	26.0
1010.0	1492.0	2070.0	-0.904	32.0
524.0	744.0	2071.0	-0.9	37.0
1363.0	1831.0	2072.0	-0.899	54.0
373.0	893.0	2073.0	-0.898	42.0
486.0	652.0	2074.0	-0.898	58.0
713.0	943.0	2075.0	-0.897	45.0
172.0	877.0	2076.0	-0.896	34.0
189.0	853.0	2077.0	-0.889	45.0
1235.0	1773.0	2078.0	-0.884	56.0
485.0	513.0	2079.0	-0.883	42.0
382.0	890.0	2080.0	-0.879	20.0
970.0	1868.0	2081.0	-0.878	58.0
1337.0	1810.0	2082.0	-0.876	101.0
1389.0	1639.0	2083.0	-0.873	49.0
331.0	925.0	2084.0	-0.87	51.0
266.0	1731.0	2085.0	-0.869	60.0
360.0	889.0	2086.0	-0.869	37.0
1039.0	1368.0	2087.0	-0.869	19.0
304.0	1683.0	2088.0	-0.868	75.0
966.0	1781.0	2089.0	-0.864	47.0
1262.0	1843.0	2090.0	-0.864	61.0
337.0	1019.0	2091.0	-0.86	28.0
1762.0	1938.0	2092.0	-0.859	134.0
263.0	1110.0	2093.0	-0.857	33.0
1669.0	1790.0	2094.0	-0.854	159.0
988.0	1422.0	2095.0	-0.853	25.0
234.0	712.0	2096.0	-0.848	47.0
782.0	1327.0	2097.0	-0.84	25.0
992.0	2002.0	2098.0	-0.839	89.0
1670.0	1850.0	2099.0	-0.836	77.0
1886.0	1984.0	2100.0	-0.834	105.0
726.0	1064.0	2101.0	-0.833	28.0
1399.0	1480.0	2102.0	-0.833	11.0
1667.0	1755.0	2103.0	-0.829	85.0
1648.0	1932.0	2104.0	-0.825	84.0
309.0	1607.0	2105.0	-0.823	74.0
248.0	1713.0	2106.0	-0.81	55.0
1666.0	1950.0	2107.0	-0.809	91.0
390.0	1732.0	2108.0	-0.807	44.0
801.0	1159.0	2109.0	-0.803	37.0
871.0	1426.0	2110.0	-0.801	30.0
1693.0	1894.0	2111.0	-0.799	120.0
501.0	1243.0	2112.0	-0.796	21.0
